# Undirected graph (each unordered pair of nodes is saved once): ../data/campaignNetworks.txt
# Save 2008 to 2016 campaign network info as tab-separated list of edges, using unified candidate node IDs
# Nodes: 7526 Edges: 272116
# NodeId	NodeId
46	304545
46	304547
46	304551
46	304553
46	304560
46	304565
46	304577
46	304578
46	304589
46	304602
46	304611
46	304628
46	304638
46	304645
46	304648
46	304665
46	304671
46	304681
46	304683
46	304688
46	304705
46	304707
46	304715
46	304729
46	304755
46	304760
46	304764
46	304773
46	304775
46	304799
46	304807
46	304825
46	304826
46	304829
46	304830
46	304833
46	304846
46	304849
46	304855
46	304856
46	304872
46	304877
46	304896
46	304901
46	304947
46	304955
46	304965
46	304977
46	304994
46	304997
46	305010
46	305020
46	305028
46	305034
46	305045
46	305061
46	305064
46	305086
46	305089
46	305107
46	305117
46	305125
46	305134
46	305150
46	305153
46	305158
46	305161
46	305177
46	305182
46	305202
46	305211
46	305212
46	305224
46	305235
46	305247
46	305252
46	305268
46	305274
46	305278
46	305300
46	305302
46	305307
46	305311
46	305340
46	305350
46	305362
46	305381
46	305397
46	305446
46	305465
46	305490
46	305495
46	305497
46	305506
46	305524
46	305540
46	305549
46	305571
46	305627
46	305639
46	305650
46	305668
46	305675
46	305679
46	305688
46	305731
46	305837
46	305876
46	305894
46	305904
46	305958
46	305967
46	306009
46	306021
46	306063
46	306073
46	306101
46	306141
46	306185
46	306225
46	306237
46	306304
46	306311
46	306328
46	306329
46	306337
46	306346
46	306349
46	306359
46	306364
46	306378
46	306403
46	306433
46	306448
46	306494
46	306528
46	306532
46	306542
46	306572
46	306584
46	306585
46	306603
46	306611
46	306634
46	306638
46	306646
46	306720
46	306730
46	306765
46	306766
46	306769
46	306808
46	306828
46	306853
46	306883
46	306921
46	306940
46	307027
46	307047
46	307064
46	307107
46	307134
46	307144
46	307236
46	307260
46	307287
46	307298
46	307308
46	307349
46	307359
46	307400
46	307424
46	307474
46	307495
46	307506
46	307549
46	307570
46	307589
46	307600
46	307605
46	307680
46	307697
46	307698
46	307735
46	307765
46	307790
46	307812
46	307818
46	307888
46	307920
46	307931
46	307966
46	307969
46	308022
46	308052
46	308078
46	308163
46	308169
46	308173
46	308195
46	308268
46	308317
46	308378
46	308434
46	308488
46	308495
46	308506
46	308578
46	308619
46	308625
46	308677
46	308746
46	308788
46	308876
46	308916
46	308921
46	308949
46	308957
46	308961
46	309033
46	309040
46	309144
46	309170
46	309249
46	309365
46	309396
46	309416
46	309423
46	309482
46	309515
46	309652
46	309682
46	309706
46	309833
46	309842
46	309913
46	309934
46	310052
46	310261
46	310329
46	310546
46	310756
46	310841
46	311130
46	311167
46	311246
46	311316
46	311379
46	311824
46	311841
46	311971
46	312025
46	312850
46	313048
46	314122
46	314186
46	314441
46	314559
46	314885
46	315094
46	315114
46	315389
46	315713
46	316082
46	316744
46	317058
46	317083
46	317748
46	318287
46	318315
46	320274
46	321968
46	329240
46	329297
46	329450
110	304545
110	304547
110	304551
110	304553
110	304554
110	304560
110	304565
110	304577
110	304578
110	304586
110	304587
110	304589
110	304598
110	304602
110	304611
110	304614
110	304617
110	304619
110	304628
110	304638
110	304645
110	304648
110	304662
110	304665
110	304667
110	304671
110	304675
110	304677
110	304681
110	304683
110	304688
110	304705
110	304718
110	304721
110	304727
110	304729
110	304755
