CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID,Party,Party_encode
S8WY00023,"SIMPSON, ALAN KOOI",WY,SIMPSON,ALAN,KOOI,,1435,1710,,
H2VA04011,"SISISKY, NORMAN",VA,SISISKY,NORMAN,,,1060,1711,,
H6CO02081,"SKAGGS, DAVID",CO,SKAGGS,DAVID,,,1062,1712,,
H6CO02081,"SKAGGS, DAVID E",CO,SKAGGS,DAVID,E,,1062,1712,,
H0NM02039,"SKEEN, JOE",NM,SKEEN,JOE,,,1063,1713,,
H0NM02039,"SKEEN, JOSEPH R",NM,SKEEN,JOSEPH,R,,1063,1713,,
H0NM02039,"SKEEN, JOSEPH RICHARD",NM,SKEEN,JOSEPH,RICHARD,,1063,1713,,
H6MO04141,"SKELTON, IKE",MO,SKELTON,IKE,,,1064,1714,,
H2KS02010,"SLATTERY, JAMES C",KS,SLATTERY,JAMES,C,,1067,1716,,
H2KS02010,"SLATTERY, JAMES CHARLES",KS,SLATTERY,JAMES,CHARLES,,1067,1716,,
H2KS02010,"SLATTERY, JIM",KS,SLATTERY,JIM,,,1067,1716,,
S8KS00235,"SLATTERY, JIM",KS,SLATTERY,JIM,,,1067,1716,,
H2VA07048,"SLAUGHTER, D FRENCH III",VA,SLAUGHTER,D,FRENCH III,,1068,1717,,
H4VA07010,"SLAUGHTER, D FRENCH JR",VA,SLAUGHTER,D,FRENCH JR,,1068,1717,,
H4VA07010,"SLAUGHTER, DANIEL FRENCH JR",VA,SLAUGHTER,DANIEL,FRENCH JR,,1068,1717,,
H8AL06016,"SMITH, ALBERT LEE JR",AL,SMITH,ALBERT,LEE JR,,1070,1718,,
S4AL00042,"SMITH, ALBERT LEE JR",AL,SMITH,ALBERT,LEE JR,,1070,1718,,
H0NH01019,"SMITH, ROBERT C",NH,SMITH,ROBERT,C,,1082,1719,,
H0NH01019,"SMITH, ROBERT CLINTON",NH,SMITH,ROBERT,CLINTON,,1082,1719,,
S0NH00144,"SMITH, ROBERT ",NH,SMITH,ROBERT,,,1082,1719,,
S0NH00144,"SMITH, ROBERT C",NH,SMITH,ROBERT,C,,1082,1719,,
H0OR02010,"SMITH, DENNIS A",OR,SMITH,DENNIS,A,,1072,1720,,
H0OR02010,"SMITH, DENNY",OR,SMITH,DENNY,,,1072,1720,,
H4OR02038,"SMITH, DENNIS C W",OR,SMITH,DENNIS,C W,,1072,1720,,
S6OR00094,"SMITH, GORDON HAROLD",OR,SMITH,GORDON,HAROLD,,1549,1721,,
H2PA03012,"SMITH, JOSEPH F",PA,SMITH,JOSEPH,F,,1074,1722,,
H8MS05054,"SMITH, LARKIN I",MS,SMITH,LARKIN,I,,1076,1723,,
H2FL12016,"SMITH, LAWRENCE J",FL,SMITH,LAWRENCE,J,,1077,1724,,
H2FL12016,"SMITH, LAWRENCE JACK",FL,SMITH,LAWRENCE,JACK,,1077,1724,,
H4WA03064,"SMITH, LINDA",WA,SMITH,LINDA,,,1078,1725,,
S8WA00079,"SMITH, LINDA",WA,SMITH,LINDA,,,1078,1725,,
H6IA04043,"SMITH, NEAL",IA,SMITH,NEAL,,,1079,1726,,
H6IA04043,"SMITH, NEAL E",IA,SMITH,NEAL,E,,1079,1726,,
H2MI04021,"SMITH, NICK",MI,SMITH,NICK,,,1080,1727,,
H8VT00059,"SMITH, PETER",VT,SMITH,PETER,,,1081,1728,,
H8VT00059,"SMITH, PETER PLYMPTON",VT,SMITH,PETER,PLYMPTON,,1081,1728,,
H2OR02016,"SMITH, ROBERT F",OR,SMITH,ROBERT,F,,1083,1729,,
H2OR02016,"SMITH, ROBERT F (BOB)",OR,SMITH,ROBERT,F (BOB),,1083,1729,,
H2OR02016,"SMITH, ROBERT FREEMAN",OR,SMITH,ROBERT,FREEMAN,,1083,1729,,
H6NE03016,"SMITH, VIRGINIA DODD",NE,SMITH,VIRGINIA,DODD,,1084,1730,,
H6KS03076,"SNOWBARGER, VINCENT K",KS,SNOWBARGER,VINCENT,K,,1529,1731,,
H8ME02029,"SNOWE, OLYMPIA J",ME,SNOWE,OLYMPIA,J,,1085,1732,,
S4ME00055,"SNOWE, OLYMPIA J",ME,SNOWE,OLYMPIA,J,,1085,1732,,
H6KY04031,"SNYDER, GENE",KY,SNYDER,GENE,,,1086,1733,,
H6KY04031,"SNYDER, M GENE",KY,SNYDER,M,GENE,,1086,1733,,
H6AR02203,"SNYDER, VICTOR F",AR,SNYDER,VICTOR,F,,1530,1734,,
H6AR02203,"SNYDER, VICTOR FREDERICK",AR,SNYDER,VICTOR,FREDERICK,,1530,1734,,
H2IN09084,"SODREL, MICHAEL E",IN,SODREL,MICHAEL,E,,1783,1735,,
H2IN09084,"SODREL, MICHAEL E.",IN,SODREL,MICHAEL,E.,,1783,1735,,
H2IN09084,"SODREL, MICHAEL E. MR.",IN,SODREL,MICHAEL,E. MR.,,1783,1735,,
H6NY13030,"SOLARZ, STEPHEN J",NY,SOLARZ,STEPHEN,J,,1087,1736,,
H0CA31087,"SOLIS, HILDA",CA,SOLIS,HILDA,,,1636,1737,Democrat,1
H8NY29016,"SOLOMON, GERALD",NY,SOLOMON,GERALD,,,1088,1738,,
H8NY29016,"SOLOMON, GERALD B",NY,SOLOMON,GERALD,B,,1088,1738,,
H8NY29016,"SOLOMON, GERALD B H",NY,SOLOMON,GERALD,B H,,1088,1738,,
H4IN04099,"SOUDER, MARK E",IN,SOUDER,MARK,E,,1089,1739,,
H4IN04099,"SOUDER, MARK EDWARD",IN,SOUDER,MARK,EDWARD,,1089,1739,,
H6OH18157,"SPACE, ZACHARY T",OH,SPACE,ZACHARY,T,,1871,1741,Democrat,1
S6PA00100,"SPECTER, ARLEN",PA,SPECTER,ARLEN,,,1437,1742,,
H6MD05040,"SPELLMAN, GLADYS NOON",MD,SPELLMAN,GLADYS,NOON,,1090,1743,,
H6SC02043,"SPENCE, FLOYD D",SC,SPENCE,FLOYD,D,,1091,1744,,
H6SC02043,"SPENCE, FLOYD DAVIDSON",SC,SPENCE,FLOYD,DAVIDSON,,1091,1744,,
H2SC05052,"SPRATT, JOHN M JR",SC,SPRATT,JOHN,M JR,,1092,1745,,
H2SC05052,"SPRATT, JOHN MCKEE JR",SC,SPRATT,JOHN,MCKEE JR,,1092,1745,,
H2SC05052,"SPRATT, JOHN MCKEE JR HON",SC,SPRATT,JOHN,MCKEE JR HON,,1092,1745,,
H6RI01039,"ST GERMAIN, FERDNAND",RI,ST GERMAIN,FERDNAND,,,1093,1746,,
H6RI01039,"ST GERMAIN, FERNAND J",RI,ST GERMAIN,FERNAND,J,,1093,1746,,
H6RI01039,"ST GERMAIN, FERNAND JOSEPH",RI,ST GERMAIN,FERNAND,JOSEPH,,1093,1746,,
H8FL12047,"STACK, EDWARD J",FL,STACK,EDWARD,J,,1094,1747,,
S6VT00053,"STAFFORD, ROBERT T",VT,STAFFORD,ROBERT,T,,1438,1748,,
H2WV02019,"STAGGERS, HARLEY O JR",WV,STAGGERS,HARLEY,O JR,,1096,1749,,
H2WV02019,"STAGGERS, HARLEY ORRIN JR",WV,STAGGERS,HARLEY,ORRIN JR,,1096,1749,,
H2ID02018,"STALLINGS, RICHARD ",ID,STALLINGS,RICHARD,,,1097,1751,,
H2ID02018,"STALLINGS, RICHARD H",ID,STALLINGS,RICHARD,H,,1097,1751,,
